Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
spite,5,2.59,2.07,0.63,11.7,8222
stand,5,4.06,4.16,0.67,4.39,10687
state,5,3.74,3.52,0.69,6.39,14018
steering,8,2.32,4,0.58,7.56,28680
stick,5,3.7,4.59,0.61,3.89,11576
stock,5,3.11,4.19,0.66,9.22,6522
stop,4,4.56,3.68,0.68,2.89,5682
store,5,3.62,4.5,0.66,4.76,12227
street,6,3.88,4.75,0.67,4.58,12019
suck,4,3.25,3.46,0.45,5.58,2246
super,5,3.13,1.9,0.65,5.32,9090
surgery,7,3.22,4.34,0.62,7.68,10527
swimming,8,3.01,4.44,0.61,4.58,14118
syrup,5,2.42,4.76,0.53,5.42,1356
tales,5,2.56,2.85,0.61,6.32,12846
tank,4,3.12,4.8,0.64,7.17,5646
tape,4,3.55,4.9,0.63,4.42,4413
tea,3,3.48,4.69,0.62,5.47,6210
tear,4,3.14,4.56,0.57,4.89,9175
teddy,5,2.91,4.78,0.58,#,9236
teller,6,2.12,4.38,0.51,9.9,17324
test,4,3.63,3.93,0.67,6.26,12449
thank,5,4.76,3,0.56,3.79,6237
the,3,6.18,1.43,0.71,3.98,3072
theme,5,2.85,2.72,0.66,8.5,5824
think,5,5.14,2.41,0.66,4.75,9590
third,5,3.58,3.44,0.69,4.58,3846
throat,6,3.26,4.97,0.57,5.09,8317
through,7,4.45,2.9,0.7,5.82,6183
tin,3,2.65,4.87,0.6,6.79,11672
toes,4,2.81,#,0.56,3,6001
toilet,6,3.17,4.97,0.56,3.54,7918
tomato,6,2.48,5,0.53,4.61,9810
towel,5,2.86,4.86,0.41,3.22,4270
trees,5,3.2,#,0.64,3.57,11589
trek,4,2.36,3.31,0.58,9.62,6294
trench,6,2.2,4.46,0.56,10.21,12961
trip,4,3.62,3.71,0.65,4.22,5088
tub,3,2.81,4.64,0.45,3.95,1116
tube,4,2.92,4.82,0.62,5.5,1974
under,5,4.13,3.45,0.7,5.89,12379
united,6,3.41,2.61,0.68,#,14429
upper,5,2.79,3.37,0.66,7.56,8734
upside,6,2.68,2.62,0.51,#,5854
view,4,3.29,3.21,0.68,5.63,2339
wake,4,3.73,3.11,0.63,5.63,1893
walking,7,3.58,4.29,0.64,3.45,15074
wall,4,3.56,4.86,0.67,3.79,5345
warming,7,2.31,3.34,0.57,4.65,16398
wars,4,2.67,#,0.64,7.67,5098
washing,7,2.67,4.44,0.56,4,15311
way,3,4.86,2.34,0.7,5.39,1087
wheel,5,3.14,4.86,0.63,4.4,4585
whipped,7,2.57,3.3,0.39,7,8498
who,3,5.05,1.74,0.69,3.81,1426
wild,4,3.47,2.41,0.66,6.11,2229
wing,4,3.01,4.86,0.65,4.79,11282
wipe,4,2.94,4,0.48,4.83,2657
world,5,4.37,4.36,0.69,5.32,3704
wrap,4,2.96,4.11,0.53,7,4102
wrapping,8,2.17,3.97,0.47,#,16243
young,5,4.09,3.16,0.69,4.61,7538
stuck,5,3.53,3.55,0.6,3.89,5690
sure,4,4.75,1.73,0.64,4.85,6756
together,8,4.29,2.74,0.7,5.95,13671
too,3,4.85,1.7,0.69,5.1,2292
top,3,3.83,3.93,0.68,3.89,2117
traffic,7,3.16,4.67,0.65,6.22,8525
turn,4,4.19,3.44,0.69,4.11,2566
video,5,3.32,4.67,0.67,8.06,4466
west,4,3.49,3.44,0.68,5.89,8538
work,4,4.61,3.48,0.7,5.86,3362
year,4,4.15,3.25,0.69,5.24,4962
you,3,6.33,4.11,0.68,4.35,1765
aid,3,2.85,3.1,0.67,7.33,1765
bar,3,3.64,4.67,0.67,6.9,3742
bear,4,3.47,4.88,0.66,3.58,5638
beef,4,3,4.74,0.56,6.58,2175
blue,4,3.72,3.76,0.68,3.53,2164
body,4,4,4.79,0.68,4.28,1449
boy,3,4.43,4.76,0.67,3.67,903
candy,5,3.26,4.83,0.59,4,7198
carry,5,3.53,4.04,0.67,5.16,5980
chocolate,9,3.18,4.72,0.58,3.33,17726
class,5,3.78,3.85,0.68,4.95,5621
control,7,3.82,1.93,0.69,7.26,15226
first,5,4.63,2.76,0.7,4.39,6643
French,6,3.55,#,0.68,#,11651
games,5,3.36,#,0.66,4.26,7789
grown,5,3.11,3.2,0.64,4.79,3742
hold,4,4.35,3.68,0.68,4.67,2821
ice,3,3.61,4.89,0.66,3.86,3939
keep,4,4.55,2.37,0.68,4.42,2442
let,3,5.09,2.26,0.67,4.53,4770
machine,7,3.55,4.25,0.67,6.53,14917
make,4,4.85,2.67,0.7,4.68,2909
man,3,4.97,4.79,0.69,3.11,5163
me,2,5.67,4.33,0.66,3.28,1741
mental,6,3,2.04,0.64,8.84,13516
middle,6,3.66,3.69,0.68,4.7,6152
native,6,2.63,3.03,0.67,9.2,13159
no,2,5.48,2.45,0.7,2.72,799
palm,4,2.83,4.83,0.62,6,4267
part,4,4.13,3.29,0.7,5.11,5066
party,5,4.08,3.89,0.67,4.58,5768
point,5,4.08,3.39,0.7,4.55,11338
real,4,4.35,2.5,0.69,4.95,9421
room,4,4.35,4.79,0.67,4.22,4286
school,6,4.23,4.79,0.67,3.89,5812
so,2,5.34,1.42,0.7,5.15,782
space,5,3.53,3.54,0.68,5.67,5023
a,1,6.02,1.46,#,2.89,#
air,3,3.85,4.11,0.68,3.94,1728
and,3,5.83,1.52,0.71,4.57,5245
coat,4,3.33,4.97,0.6,3.58,7074
come,4,5.21,2.72,0.69,3.32,5431
cream,5,3.4,4.83,0.59,5.95,8098
do,2,5.5,2.46,0.69,3.6,588
